Rank,Sourceid,Title,Type,Issn,SJR Best Quartile,Country,Areas
1,28773,Ca-A Cancer Journal for Clinicians,journal,"15424863, 00079235",Q1,United States,Medicine
2,19434,MMWR Recommendations and Reports,journal,"10575987, 15458601",Q1,United States,Environmental Science; Health Professions; Medicine; Social Sciences
3,21100812243,Nature Reviews Materials,journal,20588437,Q1,United Kingdom,Energy; Materials Science
4,29431,Quarterly Journal of Economics,journal,"00335533, 15314650",Q1,United Kingdom,"Economics, Econometrics and Finance"
5,20315,Nature Reviews Molecular Cell Biology,journal,"14710072, 14710080",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
6,58530,National Vital Statistics Reports,journal,"15518922, 15518930",Q1,United States,Social Sciences
7,18991,Nature Reviews Genetics,journal,"14710056, 14710064",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine"
8,18434,Cell,journal,"00928674, 10974172",Q1,United States,"Biochemistry, Genetics and Molecular Biology"
9,29719,Reviews of Modern Physics,journal,"00346861, 15390756",Q1,United States,Physics and Astronomy
10,12464,Nature Reviews Cancer,journal,"1474175X, 14741768",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine"
11,24404,Journal of Political Economy,journal,"00223808, 1537534X",Q1,United States,"Economics, Econometrics and Finance"
12,23340,Chemical Reviews,journal,"15206890, 00092665",Q1,United States,Chemistry
13,71056,MMWR Surveillance Summaries,journal,"15458636, 15460738",Q1,United States,Environmental Science; Health Professions; Medicine; Social Sciences
14,21318,Nature Reviews Immunology,journal,"14741741, 14741733",Q1,United Kingdom,Immunology and Microbiology; Medicine
15,21100778827,Nature Methods,journal,"15487091, 15487105",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
16,18990,Nature Genetics,journal,"10614036, 15461718",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology"
17,21100812579,Nature Energy,journal,20587546,Q1,United States,Energy; Materials Science
18,20111,"Vital &amp; health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]",journal,08864691,Q1,United States,Medicine
19,15847,New England Journal of Medicine,journal,"00284793, 15334406",Q1,United States,Medicine
20,16801,Annual Review of Biochemistry,journal,"15454509, 00664154",Q1,United States,"Biochemistry, Genetics and Molecular Biology"
21,17500,Journal of Finance,journal,"00221082, 15406261",Q1,United Kingdom,"Business, Management and Accounting; Economics, Econometrics and Finance"
22,15819,Nature Medicine,journal,"1546170X, 10788956",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine"
23,12354,"Lancet Oncology, The",journal,"14702045, 14745488",Q1,United Kingdom,Medicine
24,21100826569,Nature Reviews Chemistry,journal,23973358,Q1,United Kingdom,Chemical Engineering; Chemistry
25,5200152704,Nature Nanotechnology,journal,"17483387, 17483395",Q1,United Kingdom,Chemical Engineering; Engineering; Materials Science; Physics and Astronomy
26,17854,Nature Materials,journal,"14764660, 14761122",Q1,United Kingdom,Chemistry; Engineering; Materials Science; Physics and Astronomy
27,17437,Nature Reviews Neuroscience,journal,"14710048, 1471003X",Q1,United Kingdom,Neuroscience
28,19482,Econometrica,journal,"00129682, 14680262",Q1,United Kingdom,"Economics, Econometrics and Finance"
29,16590,"Lancet, The",journal,"01406736, 1474547X",Q1,United Kingdom,Medicine
30,23350,Chemical Society Reviews,journal,"03060012, 14604744",Q1,United Kingdom,Chemistry
31,26978,Advances in Physics,journal,"14606976, 00018732",Q1,United Kingdom,Physics and Astronomy
32,24202,Review of Economic Studies,journal,"00346527, 1467937X",Q1,United Kingdom,"Economics, Econometrics and Finance"
33,21206,Nature,journal,"14764687, 00280836",Q1,United Kingdom,Multidisciplinary
34,20651,Annual Review of Immunology,journal,"15453278, 07320582",Q1,United States,Immunology and Microbiology; Medicine
35,20110,NBER Macroeconomics Annual,book series,"15372642, 08893365",Q1,United States,"Economics, Econometrics and Finance"
36,22697,American Economic Review,journal,00028282,Q1,United States,"Economics, Econometrics and Finance"
37,17436,Nature Neuroscience,journal,"10976256, 15461726",Q1,United Kingdom,Neuroscience
38,110561,Proceedings of the IEEE International Conference on Computer Vision,conference and proceedings,15505499,-,United States,Computer Science
39,5700165152,Nature Photonics,journal,17494885,Q1,United Kingdom,Materials Science; Physics and Astronomy
40,24212,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,conference and proceedings,10636919,-,United States,Computer Science
